ID,program,agency,address,city,state,zip,district,phone,fax,tdd,email,web,duration,description,eligibility,days,hours,ages,fees,access,translation,computer,leadership,leadershipage,appdeadline,requirements,translator,bus,locations,bart,volunteer,logo,minage,contactemail,photo,download,contact,contactphone,password,user,approved,other,notes,provider,mapaddress,services
1,ACORN,,3166 Fruitvale Avenue,Oakland,CA,94602,,(510) 434-3110,(510) 434-3111,,,www.acorn.org,Year Round,"ACORN is the nation's largest community organization of low-income and moderate-income families. ACORN works with parents and youth for cleaner and safer neighborhoods, better public schools, living wage jobs and more.",Low and moderate income,,,"0-5, 6-12, 13-18",No,Wheelchair access,Spanish,,,,,,Yes,82,"Woodland Elementary,1025 81st Avenue",Fruitvale,Yes,,minimum age: 13,,nophoto.gif,,,,welcome,,Yes,,,,3166 Fruitvale Avenue 94602,"Education/Academic Support, Youth Leadership/Volunteer"
4,California Youth Crisis Line,,,,,,,(800) 843-5200,,,,,Year Round,"The California Youth Crisis Line provides a state-wide, toll free confidential telephone service to any youth or parent in a crisis situation. Services include intervention counseling, referrals, or links to agencies with other types of parental services.",,,,"0-5, 6-12, 13-18",,,,,,,,,,,,,,,,,nophoto.gif,,,,welcome,,Yes,,,,,Family Support/Counseling
5,AMASSI,,"222 14th Street, 2nd Floor",Oakland,CA,94612,,(510) 588-5900,(510) 588-5935,,,,Year Round,"AMASSI offers health education, transitional housing for both young adults and women with children. AMASSI also provides HIV education and prevention, prevention case management, mental health assistance, substance abuse prevention, housing referrals, and client advocacy.","Homeless, low-income, or HIV positive",,,"0-5, 6-12, 13-18",No,Wheelchair access,,,,,,,,,,,Yes,,minimum age to volunteer: 18,,nophoto.gif,,,,welcome,,Yes,,,,"222 14th Street, 94612","Family Support/Counseling, Health/Wellness, Youth Leadership/Volunteer"
6,Scotlan Youth and Family Center,,"1651 Adeline Street, 2nd Floor",Oakland,CA,94607,,(510) 832-4544,,,,,,,Must be WIA eligible.,,,13-18,None,"Wheelchair access, Restrooms wheelchair accessible","English, Spanish",,,,,"Referral from police, churches, school, other agencies, parent or self-referral for youth and family counseling.",,"13, 14",,MacArthur,,,,scotlan1@netscape.net,nophoto.gif,,Michelle Jackson,(510) 832-4544,welcome,,Yes,Walk in or apply by phone for employment and training program. \,,,"1651 Adeline Street, 94607",Employment/Job Readiness
7,"Youth Employment Partnership, Inc.",,2300 International Blvd.,Oakland,CA,94601,,(510)533-3447,(510)533-3469,,,www.yep.org,Year Round,"YEP provides employment training to low income/at-risk Oakland youth. Training programs run throughout the year and include:  Team Oakland (environmental education, litter abatement, community service), Career Try-Out (summer internships in a variety of fields for in-school youth), Future Workforce (internships in a variety of fields for youth in and out of school), and a UPS Program (paid training and placement at UPS for out-of-school youth). Support services are available in all programs and include childcare assistance, mental health counseling, driver?s license assistance, life skills training, transportation, etc.
OAKLAND YOUTH SELF-SUFFICIENCY
The YSS program is designed to enroll court-involved youth, wards of the court, foster care youth, emancipated youth, and youth with learning disabilities into a paid job training curriculum. Funded by the Department of Labor.
FUTURE WORKFORCE FOR IN-SCHOOL YOUTH
Youth work after school and on weekends in a paid internship based on their interests. Participants receive work maturity training and career counseling. Income guidelines apply. Funded by the Workforce Investment Act.
TEAM OAKLAND - Through partnerships with the City of Oakland Public Works Agency & the UC Berkeley College of Natural Resources, youth receive classroom training in social and environmental issues and on-the-job training in landscaping, mural painting, urban gardening, and litter abatement.  Funded by the City of Oakland Public Works Agency.

YOUTHBUILD - Through a partnership with Oakland Housing Authority, Laney College, and the OUSD Adult School, this program trains young adults in carpentry & construction, both in the classroom and in the field.  Participants build and/or gut-rehabilitate low-income housing. Funded by the US Department of Housing and Urban Development. 
CAREER ALTERNATIVES - This new program provides youth in Alternative Education with leadership and career exploration workshops. Participants receive a paid internship and job placement assistance in the field of their choice. This year the program will operate from January to December 2005 and serves youth ages 14 & 15 (Trainee) and 16 & 17 (Youth Leader). Funded by the State of California Board of Corrections.
CAREER ALTERNATIVES - This new program provides youth in Alternative Education with leadership and career exploration workshops. Participants receive a paid internship and job placement assistance in the field of their choice. This year the program will operate from January to December 2005 and serves youth ages 14 & 15 (Trainee) and 16 & 17 (Youth Leader). Funded by the State of California Board of Corrections.
CAREER TRY-OUT - This training opportunity provides youth with leadership and career exploration workshops. Participants receive a paid internship and job placement assistance in the field of their choice. The program operates each summer and serves youth ages 14 & 15 (Trainee) and 18-20 (Youth Leader). Funded by the Oakland Fund for Children and Youth. 
YEP also operates a Career Try-Out program at the Youth and Family Center at McClymonds High School. Funded by the San Francisco Foundation.
MAYOR'S SUMMMER JOB PROGRAM - In partnership with the City of Oakland and local nonprofit organizations, this program recruits and prepares youth for summer jobs in the community. Youth participate in a series of intensive job readiness trainings and are given opportunities to interview with local employers. Funded by the City of Oakland. 
KNIGHTS' CAFE - In partnership with the City of Oakland and local nonprofit organizations, this program recruits and prepares youth for summer jobs in the community. Youth participate in a series of intensive job readiness trainings and are given opportunities to interview with local employers. Funded by the City of Oakland. 
YEP CHARTER HIGH SCHOOL - The YEP Charter school is designed to re-engage youth who have dropped out of high school. During a two-year period, students work towa","Resident of Oakland, low-income, age 14-24",Mon. - Fri.,9am-6pm,13-18,No,"Wheelchair access, Restrooms wheelchair accessible","English, Spanish, Chinese",Computer training provided,,,,,Yes,AC Transit 62 and 82 within 1 block,,Fruitvale,,,,info@yep.org,nophoto.gif,,,301,welcome,,Yes,,DONE - ka - info from website,,2300 International Blvd. 94601,"Education/Academic Support, Employment/Job Readiness, Leadership, Mentoring"
9,Lao Family Community Development,,1551 23rd Avenue,Oakland,CA,94606,,(510) 533-8850,(510) 533-1516,,,http://www.laofamilynet.org/,,"Programs and assistance for South East Asian refugee and immigrant communities, 
and other low income communities, to adapt  to life in the United States, 
and to achieve social and economic self-sufficiency.",,,,,,,,,,,,,,,,,,,,jennie@laofamilynet.org,nophoto.gif,,Jennie Mollica,,welcome,,Yes,,,,1551 23rd Avenue 94606,
10,Academics for Sucess,,4138 MacArthur Blvd.,Oakland,CA,94619,,(510) 482-9696,,,afs706@aol.com,www.academicsforsucess.com,,,,,,,,,,,,,,,,,,,,,,,nophoto.gif,,,,welcome2,,Yes,,,,4138 MacArthur Blvd. 94619,
11,Action Alliance for Children (AAC),,1201 Martin Luther King Jr. Way,Oakland,CA,94612,,(510) 444-7136,(510) 444-7138,,,www.4children.org,Year Round,"For more than 20 years, Action Alliance for Children (AAC) has published the Children?s Advocate, an award winning news magazine dedicated to providing useful, reader-friendly information about important children?s policy issues to a growing network of educators, parents, activists, policy makers, and human services providers. AAC Children Building Communication Project creates opportunities for people who work with or on behalf of children to share ideas and feedback with Children?s Advocate.",,,,"0-5, 6-12, 13-18",,Wheelchair access,,,,,,,,,,,,,,aac@4children.org,nophoto.gif,,Eric,,welcome,,Yes,,,,1201 Martin Luther King Jr. Way 94612,Family Support/Counseling
12,Al-Anon,,15287 Hesperian Blvd. #5,San Leandro,CA,94578,,(510) 276-2270,,,,,Year Round,Al-Anon is a 12-step program for young people whose lives have been affected by a relative or friend?s alcoholism. Literature and information are distributed and weekly meetings are held at various locations.,,,,"0-5, 6-12, 13-18",No,Wheelchair access,,,,,,,,,,,,,,,nophoto.gif,,,,welcome,,Yes,,,,15287 Hesperian Blvd. 94578,"Family Support/Counseling, Health/Wellness"
13,Ala-Costa Center for the Developmentally Disabled,,"3400 Malcolm Avenue  Oakland,CA  94605",Oakland,CA,94605,,(510)527-2550,(510)527-4543,,,www.alacostacenter.org,Year Round,"Contact: Ron Halog/Sylvia Quesada
Ala-Costa Center has qualified staff that provide leadership to ensure that skill development is maximized and students are cared for in a safe supportive setting. Students who have a developmental disability such as Autism, Down?s Syndrome or mental retardation, and who reside in Alameda or Contra Costa are eligible to participate in the program. The school district and the Regional Center of the East Bay provide transportation.","Developmentally disabled, age 5-22",,,"6-12, 13-18",,"Wheelchair access, Restrooms wheelchair accessible",Spanish,,,,,referral from Regional Center,Yes,,,,,,,holly@alacostacenter.org,nophoto.gif,,"Ron Halog, Exec Director",(510) 527-2550,welcome,,Yes,Additional Translation: Sign Language,"Sylvia Quesada, Program Coordinator",,3400 Malcolm Avenue   94605,"Employment/Job Readiness, Recreational/Social, Youth Leadership/Volunteer"
14,Alameda County Community Food Bank,,West Oakland Army Base,Oakland,CA,94604,,(510) 834-3663,(510) 834-3259,,,www.accfb.org,Year Round,"The Food Bank works to break the cycle of poverty and to eliminate hunger, raising public awareness through food drives, public education programs, and advocacy efforts. It salvages food that would otherwise be wasted, and channels it to a network of agencies such as local soup kitchens, pantries, shelters, day care centers, and residential programs.",,,,"0-5, 6-12, 13-18",No,Wheelchair access,,,,,,,,83,,West Oakland,Yes,,minimum age to volunteer: 10,,nophoto.gif,,,,welcome,,Yes,,,,,"Family Support/Counseling, Health/Wellness, Youth Leadership/Volunteer"
15,Children and Family Services,Alameda County Social Services Agency,,,,,,(510) 780-8600,,,,www.co.alameda.ca.us,,,,,,,,,,,,,,,,,,,,,,,nophoto.gif,,,,welcome,,No,,,,,
16,"Alameda County Youth Development, Inc.",George P. Scotlan Center,1651 Adeline Street,Oakland,CA,94607,,(510) 832-4544,(510) 832-3521,,,,Year Round,"The Center?s mission is to address the causes and incidences of ?status offender? behavior 
through its counseling activities, the unification of the functional family and the reduction of delinquent activity that results in youth becoming a part of the juvenile criminal justice system. The mission includes the provision of activities and services that capture the interest of youth and the commitment of their families that engage the youth in constructive dynamic opportunities to grow, develop the best of themselves, and contribute positively to the welfare of the community at large.",,,,13-18,No,Restrooms wheelchair accessible,,,,,,,,,,,Yes,,minimum age to volunteer: 16,scotlan1@netscape.net,nophoto.gif,,Michelle Jackson,,welcome,,Yes,,,,1651 Adeline Street 94607,"Family Support/Counseling, Health/Wellness, Youth Leadership/Volunteer"
